304,"PGT Innovations, Inc.",2021/09/19
305,"SolarEdge Technologies, Inc.",2021/08/20
306,"PC-Tel, Inc.",2021/06/25
307,"Community Bank System, Inc.",2021/05/08
308,"Heartland Express, Inc.",2021/09/05
309,CBX (Listing Market NYSE Networks AE,2021/07/23
310,HSBC Holdings plc,2021/10/21
311,Charter Financial Corp.,2021/03/27
312,"Westbury Bancorp, Inc.",2021/03/20
313,First Trust Indxx Global Natural Resources Income ETF,2021/11/19
314,AC Immune SA,2021/11/27
315,"Ashford Hospitality Prime, Inc.",2021/07/28
316,Omnicom Group Inc.,2021/02/22
317,Dow Chemical Company (The),2021/04/01
318,Amerco,2021/01/16
319,Nuveen Credit Strategies Income Fund,2021/01/06
320,Ternium S.A.,2021/01/29
321,Orthofix International N.V.,2021/10/30
322,"Silicon Laboratories, Inc.",2021/08/19
323,"Consumer Portfolio Services, Inc.",2021/07/04
324,Frontier Communications Corporation,2021/10/08
325,Invesco Municipal Opportunity Trust,2021/05/30
326,Seacoast Banking Corporation of Florida,2021/01/03
327,InterXion Holding N.V.,2021/03/21
328,Mesa Royalty Trust,2021/01/14
329,Citigroup Inc.,2021/10/26
330,First Trust Nasdaq Retail ETF,2021/04/04
331,"Banc of California, Inc.",2021/09/01
332,Morgan Stanley,2021/07/03
333,"RTI Surgical, Inc.",2021/01/08
334,Government Properties Income Trust,2021/09/24
335,"Codexis, Inc.",2021/08/06
336,Blackrock Global,2021/05/20
337,"Woodward, Inc.",2021/12/21
338,Akari Therapeutics Plc,2021/10/31
339,"Stanley Black & Decker, Inc.",2021/02/07
340,"Tetra Technologies, Inc.",2021/12/10
341,Synnex Corporation,2021/11/13
342,"Intuitive Surgical, Inc.",2021/10/01
343,"ServiceMaster Global Holdings, Inc.",2021/08/23
344,The Kraft Heinz Company,2021/04/15
345,"M I Acquisitions, Inc.",2021/10/30
346,Wells Fargo Global Dividend Opportunity Fund,2021/07/01
347,"RPC, Inc.",2021/06/28
348,"Quality Systems, Inc.",2021/07/06
349,"Merck & Company, Inc.",2021/06/17
350,NeuroDerm Ltd.,2021/03/12
351,Diebold Nixdorf Incorporated,2021/05/20
352,"Care Capital Properties, Inc.",2021/04/05
353,"Image Sensing Systems, Inc.",2021/04/28
354,Toronto Dominion Bank (The),2021/12/06
355,"Blackrock MuniYield Fund, Inc.",2021/12/31
356,Halliburton Company,2021/11/05
357,"Old Second Bancorp, Inc.",2021/05/11
358,Stryker Corporation,2021/02/24
359,MidSouth Bancorp,2021/01/06
360,Lennar Corporation,2021/09/18
361,"Determine, Inc. ",2021/12/09
362,"Solaris Oilfield Infrastructure, Inc.",2021/07/10
363,"Simulations Plus, Inc.",2021/05/03
364,Primoris Services Corporation,2021/07/30
365,"OneBeacon Insurance Group, Ltd.",2021/08/30
366,Chesapeake Energy Corporation,2021/01/29
367,"Equifax, Inc.",2021/09/09
368,"American Eagle Outfitters, Inc.",2021/11/18
369,Medley LLC,2021/12/03
370,IRIDEX Corporation,2021/02/12
371,Cemtrex Inc.,2021/11/20
372,Avadel Pharmaceuticals plc,2021/12/07
373,Perrigo Company,2021/04/27
374,"Red Hat, Inc.",2021/02/18
375,"Haverty Furniture Companies, Inc.",2021/01/23
376,"Achillion Pharmaceuticals, Inc.",2021/06/03
377,"First Connecticut Bancorp, Inc.",2021/09/08
378,"Surgery Partners, Inc.",2021/11/28
379,Pacific Coast Oil Trust,2021/09/25
380,"YuMe, Inc.",2021/04/07
381,"Internet Initiative Japan, Inc.",2021/08/28
382,iPath US Treasury 5-year Bull ETN,2021/05/19
383,Bristol-Myers Squibb Company,2021/04/10
384,Quinpario Acquisition Corp. 2,2021/09/11
385,"Everspin Technologies, Inc.",2021/03/18
386,Drive Shack Inc.,2021/11/17
387,LPL Financial Holdings Inc.,2021/09/08
388,Westport Fuel Systems Inc,2021/06/12
389,"Prudential Short Duration High Yield Fund, Inc.",2021/06/23
390,Jewett-Cameron Trading Company,2021/11/08
391,"Dominion Energy, Inc.",2021/04/13
392,Forum Merger Corporation,2021/02/07
393,"Provident Bancorp, Inc.",2021/08/11
394,CTI Industries Corporation,2021/07/04
395,Wright Medical Group N.V.,2021/12/04
396,Pan American Silver Corp.,2021/12/28
397,"American Electric Technologies, Inc.",2021/10/15
398,YPF Sociedad Anonima,2021/12/14
399,"Sinovac Biotech, Ltd.",2021/07/10
400,"Community First Bancshares, Inc.",2021/02/10
401,FIRST REPUBLIC BANK,2021/04/29
402,"Consumer Portfolio Services, Inc.",2021/07/06
403,"Union Bankshares, Inc.",2021/10/24
404,"TerraForm Global, Inc.",2021/07/29
405,Deltic Timber Corporation,2021/07/27
406,Neonode Inc.,2021/02/19
407,Itau Unibanco Banco Holding SA,2021/03/18
408,Scudder Strategic Municiple Income Trust,2021/09/08
409,Encore Capital Group Inc,2021/03/06
410,Newell Brands Inc.,2021/03/06
411,W.R. Berkley Corporation,2021/04/30
412,"Kingstone Companies, Inc",2021/07/20
413,Optibase Ltd.,2021/06/09
414,Apache Corporation,2021/02/18
415,Pool Corporation,2021/08/14
416,Glu Mobile Inc.,2021/05/04
417,Genpact Limited,2021/03/19
418,GasLog Partners LP,2021/08/16
419,CorVel Corp.,2021/06/21
420,BlackRock New Jersey Municipal Income Trust,2021/06/30
421,Tutor Perini Corporation,2021/10/15
422,Garrison Capital Inc.,2021/04/02
423,Southwestern Energy Company,2021/09/19
424,"MidWestOne Financial Group, Inc.",2021/10/29
425,"Western New England Bancorp, Inc.",2021/12/29
426,"MISONIX, Inc.",2021/07/01
427,BP p.l.c.,2021/04/09
428,"Autoliv, Inc.",2021/09/10
429,"Interface, Inc.",2021/07/14
430,"Donegal Group, Inc.",2021/12/15
431,Benitec Biopharma Limited,2021/09/14
432,"Black Stone Minerals, L.P.",2021/10/18
433,"Goldman Sachs Group, Inc. (The)",2021/05/01
434,First Majestic Silver Corp.,2021/09/21
435,"Intevac, Inc.",2021/08/01
436,"Praxair, Inc.",2021/07/14
437,Columbus McKinnon Corporation,2021/06/08
438,Air Lease Corporation,2021/12/27
439,"Fauquier Bankshares, Inc.",2021/03/06
440,Potbelly Corporation,2021/07/30
441,"HFF, Inc.",2021/04/24
442,Blackrock Global,2021/08/27
443,ProShares UltraPro Short NASDAQ Biotechnology,2021/03/01
444,Chesapeake Utilities Corporation,2021/03/26
445,Monster Beverage Corporation,2021/07/22
446,Barclays Inverse US Treasury Composite ETN,2021/05/05
447,ClearSign Combustion Corporation,2021/09/02
448,VOXX International Corporation,2021/08/15
449,Ceragon Networks Ltd.,2021/02/07
450,"Ritter Pharmaceuticals, Inc.",2021/10/09
451,MB Financial Inc.,2021/02/09
452,JMP Group LLC,2021/02/15
453,Senior Housing Properties Trust,2021/04/15
454,500.com Limited,2021/11/06
455,Eaton Vance Tax-Advantaged Global Dividend Income Fund,2021/09/11
456,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",2021/06/20
457,Wingstop Inc.,2021/12/05
458,"The Dixie Group, Inc.",2021/11/19
459,Regional Management Corp.,2021/03/18
460,Lehman ABS Corporation,2021/02/26
461,PartnerRe Ltd.,2021/06/17
462,Mechel PAO,2021/05/07
463,"Gilead Sciences, Inc.",2021/02/18
464,Quest Resource Holding Corporation.,2021/11/15
465,American Tower Corporation (REIT),2021/03/16
466,"U.S. Auto Parts Network, Inc.",2021/06/16
467,Eaton Vance Enhance Equity Income Fund,2021/06/01
468,"Four Corners Property Trust, Inc.",2021/11/15
469,"SGOCO Group, Ltd",2021/02/07
470,Murphy Oil Corporation,2021/12/22
471,"Corium International, Inc.",2021/04/01
472,Sapiens International Corporation N.V.,2021/01/15
473,Janus Henderson Group plc,2021/11/30
474,ASA Gold and Precious Metals Limited,2021/08/12
475,"Synthetic Fixed-Income Securities, Inc.",2021/01/07
476,Blackrock Health Sciences Trust,2021/03/18
477,"Parsley Energy, Inc.",2021/12/20
478,"Northfield Bancorp, Inc.",2021/02/14
479,RenaissanceRe Holdings Ltd.,2021/01/08
480,"GoPro, Inc.",2021/08/18
481,ClearBridge Energy MLP Total Return Fund Inc.,2021/07/03
482,Pilgrim's Pride Corporation,2021/10/21
483,Barings Participation Investors,2021/03/15
484,VelocityShares VIX Short-Term ETN,2021/04/09
485,"Tootsie Roll Industries, Inc.",2021/01/15
486,"Retail Properties of America, Inc.",2021/11/26
487,Caesars Acquisition Company,2021/04/08
488,Playa Hotels & Resorts N.V.,2021/07/05
489,TCF Financial Corporation,2021/04/24
490,"WesBanco, Inc.",2021/05/06
491,"Social Reality, Inc.",2021/02/09
492,Carlisle Companies Incorporated,2021/06/12
493,"A V Homes, Inc.",2021/12/31
494,Dominion Diamond Corporation,2021/05/01
495,iPath US Treasury 2-year Bull ETN,2021/10/09
496,"Morgan Stanley Asia-Pacific Fund, Inc.",2021/02/03
497,Iridium Communications Inc,2021/07/30
498,"Flagstar Bancorp, Inc.",2021/07/25
499,XTL Biopharmaceuticals Ltd.,2021/08/05
500,"Suburban Propane Partners, L.P.",2021/06/22
501,NorthWestern Corporation,2021/06/15
502,"Hercules Capital, Inc.",2021/04/16
503,"PIMCO Commercial Mortgage Securities Trust, Inc.",2021/06/02
504,"Owens-Illinois, Inc.",2021/11/28
505,Assured Guaranty Ltd.,2021/11/20
506,Invesco Plc,2021/01/24
507,Yintech Investment Holdings Limited,2021/05/15
508,Exact Sciences Corporation,2021/04/04
509,"Maiden Holdings, Ltd.",2021/12/05
510,Virtus Total Return Fund Inc.,2021/11/07
511,"CVR Partners, LP",2021/08/29
512,Scudder Multi-Market Income Trust,2021/05/09
513,"Mota Group, Inc.",2021/12/17
514,"Equity Bancshares, Inc.",2021/04/25
515,Unit Corporation,2021/11/20
516,WisdomTree Emerging Markets Consumer Growth Fund,2021/10/30
517,Apollo Tactical Income Fund Inc.,2021/05/25
518,"HTG Molecular Diagnostics, Inc.",2021/02/10
519,"Blackrock MuniYield New Jersey Fund, Inc.",2021/08/14
520,CSI Compressco LP,2021/05/16
521,Gladstone Capital Corporation,2021/07/19
522,Brixmor Property Group Inc.,2021/04/02
523,"North American Energy Partners, Inc.",2021/10/09
524,Amira Nature Foods Ltd,2021/09/13
525,"Aemetis, Inc",2021/02/25
526,"CAS Medical Systems, Inc.",2021/09/09
527,CHS Inc,2021/06/21
528,CA Inc.,2021/03/19
529,STMicroelectronics N.V.,2021/01/28
530,Altra Industrial Motion Corp.,2021/04/20
531,CABCO Series 2004-101 Trust,2021/04/13
532,Nuveen Ohio Quality Municipal Income Fund,2021/11/29
533,PIMCO Municipal Income Fund III,2021/08/03
534,"Finjan Holdings, Inc.",2021/02/01
535,"WhiteHorse Finance, Inc.",2021/08/15
536,"Soleno Therapeutics, Inc.",2021/06/20
537,CBRE Clarion Global Real Estate Income Fund,2021/02/10
538,"Hercules Capital, Inc.",2021/03/08
539,WSI Industries Inc.,2021/08/01
540,Gladstone Capital Corporation,2021/02/23
541,"Gyrodyne , LLC",2021/02/14
542,MDC Partners Inc.,2021/08/27
543,AGCO Corporation,2021/11/24
544,"Commerce Union Bancshares, Inc.",2021/01/05
545,"Exelixis, Inc.",2021/06/15
546,"Inogen, Inc",2021/06/16
547,"Lazard World Dividend & Income Fund, Inc.",2021/01/23
548,"Marinus Pharmaceuticals, Inc.",2021/10/26
549,Citigroup Inc.,2021/03/04
550,General Electric Company,2021/05/09
551,"Blackrock MuniHoldings Quality Fund II, Inc.",2021/03/01
552,General Electric Capital Corporation,2021/06/28
553,First Trust Emerging Markets AlphaDEX Fund,2021/10/22
554,Cresud S.A.C.I.F. y A.,2021/11/04
555,Mountain Province Diamonds Inc.,2021/12/13
556,"Everbridge, Inc.",2021/04/14
557,"Haverty Furniture Companies, Inc.",2021/06/02
558,"21Vianet Group, Inc.",2021/03/16
559,"SINOPEC Shangai Petrochemical Company, Ltd.",2021/07/19
560,Invesco Plc,2021/09/21
561,Atlantic American Corporation,2021/02/28
562,USD Partners LP,2021/02/12
563,ProPetro Holding Corp.,2021/06/04
564,Rosehill Resources Inc.,2021/06/05
565,"Alarm.com Holdings, Inc.",2021/07/30
566,Cowen Inc.,2021/09/24
567,"Q2 Holdings, Inc.",2021/06/11
568,"Zendesk, Inc.",2021/06/26
569,"Alamo Group, Inc.",2021/09/05
570,"U S Concrete, Inc.",2021/02/01
571,J P Morgan Chase & Co,2021/05/15
572,"ASB Bancorp, Inc.",2021/08/20
573,"New Ireland Fund, Inc. (The)",2021/11/05
574,Abeona Therapeutics Inc.,2021/09/04
575,TCF Financial Corporation,2021/01/26
576,Data I/O Corporation,2021/12/21
577,"Simon Property Group, Inc.",2021/11/30
578,Bank of America Corporation,2021/12/12
579,PowerShares Nasdaq Internet Portfolio,2021/05/13
580,"Huaneng Power International, Inc.",2021/11/20
581,Kroger Company (The),2021/11/11
582,FORM Holdings Corp.,2021/12/19
583,Rite Aid Corporation,2021/04/26
584,PowerShares DWA Industrials Momentum Portfolio,2021/11/19
585,"Atlas Financial Holdings, Inc.",2021/07/27
586,Jensyn Acquistion Corp.,2021/11/13
587,Range Resources Corporation,2021/05/08
588,"Art's-Way Manufacturing Co., Inc.",2021/06/07
589,"tronc, Inc.",2021/10/04
590,Mercury General Corporation,2021/01/03
591,"Pacific American Income Shares, Inc.",2021/06/05
592,TFS Financial Corporation,2021/07/30
593,"J. Alexander's Holdings, Inc.",2021/04/28
594,CRISPR Therapeutics AG,2021/05/30
595,Simmons First National Corporation,2021/08/21
596,"PRA Health Sciences, Inc.",2021/05/12
597,Aptevo Therapeutics Inc.,2021/11/13
598,"BMC Stock Holdings, Inc.",2021/07/17
599,IBERIABANK Corporation,2021/07/25
600,Synovus Financial Corp.,2021/08/03
601,"Pacific American Income Shares, Inc.",2021/05/14
602,Nuveen Arizona Quality Municipal Income Fund,2021/01/19
